Riley Greene, Curr: 1, Prev: 4, Change: +3
Grayson Rodriguez, Curr: 2, Prev: 7, Change: +5
Adley Rutschman, Curr: 3, Prev: 9, Change: +6
Oneil Cruz, Curr: 4, Prev: 10, Change: +6
Corbin Carroll, Curr: 5, Prev: 14, Change: +9
Anthony Volpe, Curr: 6, Prev: 12, Change: +6
Royce Lewis, Curr: 7, Prev: 41, Change: +34
George Kirby, Curr: 8, Prev: 26, Change: +18
Daniel Espino, Curr: 9, Prev: 47, Change: +38
Triston Casas, Curr: 10, Prev: 16, Change: +6
Robert Hassell, Curr: 11, Prev: 15, Change: +4
Gunnar Henderson, Curr: 12, Prev: 71, Change: +59
Jordan Walker, Curr: 13, Prev: 25, Change: +12
Max Meyer, Curr: 14, Prev: 62, Change: +48
Michael Harris, Curr: 15, Prev: 69, Change: +54
Miguel Vargas, Curr: 16, Prev: 60, Change: +44
Brennen Davis, Curr: 17, Prev: 5, Change: -12
Zac Veen, Curr: 18, Prev: 11, Change: -7
Noelvi Marte, Curr: 19, Prev: 13, Change: -6
Roansy Contreras, Curr: 20, Prev: 46, Change: +26
Eury Perez, Curr: 21, Prev: 48, Change: +27
Jack Leiter, Curr: 22, Prev: 36, Change: +14
Francisco Alvarez, Curr: 23, Prev: 19, Change: -4
Josh Jung, Curr: 24, Prev: 20, Change: -4
Josh Lowe, Curr: 25, Prev: 18, Change: -7
Nolan Gorman, Curr: 26, Prev: 24, Change: -2
George Valera, Curr: 27, Prev: 21, Change: -6
Marco Luciano, Curr: 28, Prev: 27, Change: -1
DL Hall, Curr: 29, Prev: 67, Change: +38
Alek Thomas, Curr: 30, Prev: 32, Change: +2
Oswald Peraza, Curr: 31, Prev: 33, Change: +2
Vidal Brujan, Curr: 32, Prev: 23, Change: -9
Pedro Leon, Curr: 33, Prev: 70, Change: +37
Nick Pratto, Curr: 34, Prev: 38, Change: +4
Liover Peguero, Curr: 35, Prev: 117, Change: +82
Ezequiel Tovar, Curr: 36, Prev: 176, Change: +140
Luis Matos, Curr: 37, Prev: 28, Change: -9
Jordan Lawlar, Curr: 38, Prev: 44, Change: +6
Nick Gonzales, Curr: 39, Prev: 22, Change: -17
Henry Davis, Curr: 40, Prev: 53, Change: +13
Coby Mayo, Curr: 41, Prev: 56, Change: +15
James Wood, Curr: 42, Prev: 100, Change: +58
Pete Crow-Armstrong, Curr: 43, Prev: 74, Change: +31
Vinnie Pasquantino, Curr: 44, Prev: 88, Change: +44
Matt McLain, Curr: 45, Prev: 124, Change: +79
Orelvis Martinez, Curr: 46, Prev: 30, Change: -16
Marcelo Mayer, Curr: 47, Prev: 34, Change: -13
Brady House, Curr: 48, Prev: 43, Change: -5
Cristian Hernandez, Curr: 49, Prev: 42, Change: -7
Andrew Painter, Curr: 50, Prev: 137, Change: +87
Mick Abel, Curr: 51, Prev: 105, Change: +54
Bobby Miller, Curr: 52, Prev: 66, Change: +14
Taj Bradley, Curr: 53, Prev: 158, Change: +105
Brayan Bello, Curr: 54, Prev: 157, Change: +103
Kyle Harrison, Curr: 55, Prev: 170, Change: +115
Matthew Liberatore, Curr: 56, Prev: 135, Change: +79
Tyler Soderstrom, Curr: 57, Prev: 31, Change: -26
Kahlil Watson, Curr: 58, Prev: 35, Change: -23
Gabriel Moreno, Curr: 59, Prev: 52, Change: -7
Bryson Stott, Curr: 60, Prev: 72, Change: +12
Brayan Rocchio, Curr: 61, Prev: 63, Change: +2
Andy Pages, Curr: 62, Prev: 73, Change: +11
Curtis Mead, Curr: 63, Prev: 108, Change: +45
Harry Ford, Curr: 64, Prev: 81, Change: +17
Jay Allen, Curr: 65, Prev: 99, Change: +34
Michael Busch, Curr: 66, Prev: 77, Change: +11
Joey Wiemer, Curr: 67, Prev: 83, Change: +16
Hunter Brown, Curr: 68, Prev: 116, Change: +48
DJ Herz, Curr: 69, Prev: 160, Change: +91
Jackson Jobe, Curr: 70, Prev: 92, Change: +22
Jhonkensy Noel, Curr: 71, Prev: 90, Change: +19
Austin Martin, Curr: 72, Prev: 39, Change: -33
Cade Cavalli, Curr: 73, Prev: 49, Change: -24
Dustin Harris, Curr: 74, Prev: 82, Change: +8
Austin Wells, Curr: 75, Prev: 114, Change: +39
Adael Amador, Curr: 76, Prev: 244, Change: +168
Bryan Ramos, Curr: 77, Prev: 214, Change: +137
Masyn Winn, Curr: 78, Prev: 207, Change: +129
Sixto Sanchez, Curr: 79, Prev: 161, Change: +82
Everson Pereira, Curr: 80, Prev: 57, Change: -23
Nick Yorke, Curr: 81, Prev: 58, Change: -23
Ezequiel Duran, Curr: 82, Prev: 134, Change: +52
Justin Foscue, Curr: 83, Prev: 102, Change: +19
Brett Baty, Curr: 84, Prev: 96, Change: +12
Heliot Ramos, Curr: 85, Prev: 79, Change: -6
Kevin Alcantara, Curr: 86, Prev: 80, Change: -6
Asa Lacy, Curr: 87, Prev: 128, Change: +41
Michael Burrows, Curr: 88, Prev: 366, Change: +278
Emerson Hancock, Curr: 89, Prev: 91, Change: +2
Alex Ramirez, Curr: 90, Prev: 104, Change: +14
Ronny Mauricio, Curr: 91, Prev: 110, Change: +19
Elly De La Cruz, Curr: 92, Prev: 111, Change: +19
Evan Carter, Curr: 93, Prev: 190, Change: +97
Sal Frelick, Curr: 94, Prev: 121, Change: +27
Edward Cabrera, Curr: 95, Prev: 76, Change: -19
Blake Walston, Curr: 96, Prev: 140, Change: +44
Drey Jameson, Curr: 97, Prev: 156, Change: +59
Hayden Wesneski, Curr: 98, Prev: 437, Change: +339
